ean,product_id,manufacturer,article_type,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
1000000439564,598805,Avus Racing,Felge,provider 17,,,,,,
1000000439571,598806,Avus Racing,Felge,provider 17,,,,,,
1000000439588,598807,Avus Racing,Felge,provider 17,,,,,,
1000000439595,598817,Avus Racing,Felge,provider 17,,,,,,
1000000439601,598818,Avus Racing,Felge,provider 17,,,,,,
1000000439618,598819,Avus Racing,Felge,provider 17,,,,,,
1000000439632,598821,Avus Racing,Felge,provider 17,,,,,,
1000000439649,598822,Avus Racing,Felge,provider 17,,,,,,
1000000439656,598823,Avus Racing,Felge,provider 17,,,,,,
1000000439663,598824,Avus Racing,Felge,provider 17,,,,,,
1000000439670,598825,Avus Racing,Felge,provider 17,,,,,,
1000000439687,598826,Avus Racing,Felge,provider 17,,,,,,
1000000439694,598828,Avus Racing,Felge,provider 17,,,,,,
1000000439700,598827,Avus Racing,Felge,provider 17,,,,,,
1000000439717,598829,Avus Racing,Felge,provider 17,,,,,,
1000000439731,598835,Avus Racing,Felge,provider 17,,,,,,
1000000439748,598838,Avus Racing,Felge,provider 17,,,,,,
1000000439762,598830,Avus Racing,Felge,provider 17,,,,,,
1000000439779,598831,Avus Racing,Felge,provider 17,,,,,,
1000000439830,598840,Avus Racing,Felge,provider 17,,,,,,
1000000439854,598837,Avus Racing,Felge,provider 17,,,,,,
1000000439885,598847,Avus Racing,Felge,provider 17,,,,,,
1000000439908,598845,Avus Racing,Felge,provider 17,,,,,,
1000000439939,598860,Avus Racing,Felge,provider 17,,,,,,
1000000439960,598851,Avus Racing,Felge,provider 17,,,,,,
1000000439991,598858,Avus Racing,Felge,provider 17,,,,,,
1000000440010,598808,Avus Racing,Felge,provider 17,,,,,,
1000000440027,598809,Avus Racing,Felge,provider 17,,,,,,
1000000440034,598810,Avus Racing,Felge,provider 17,,,,,,
1000000440454,1437109,Avus Racing,Felge,provider 17,,,,,,
1000000440478,1437111,Avus Racing,Felge,provider 17,,,,,,
1000000440522,1437116,Avus Racing,Felge,provider 17,,,,,,
1000000440539,1437117,Avus Racing,Felge,provider 17,,,,,,
1000000440546,1437118,Avus Racing,Felge,provider 17,,,,,,
1000000440560,1437120,Avus Racing,Felge,provider 17,,,,,,
1000000440584,1437122,Avus Racing,Felge,provider 17,,,,,,
1000000440645,1437128,Avus Racing,Felge,provider 17,,,,,,
1000000440652,1437129,Avus Racing,Felge,provider 17,,,,,,
1000000440669,1437130,Avus Racing,Felge,provider 17,,,,,,
1000000440676,1437131,Avus Racing,Felge,provider 17,,,,,,
1000000440683,1437132,Avus Racing,Felge,provider 17,,,,,,
1000000440706,1437134,Avus Racing,Felge,provider 17,,,,,,
1000000440713,1437135,Avus Racing,Felge,provider 17,,,,,,
1000000440751,1437139,Avus Racing,Felge,provider 17,,,,,,
1000000440775,3779215,Avus Racing,Felge,provider 17,,,,,,
1000000440782,3779216,Avus Racing,Felge,provider 17,,,,,,
1000000440799,3779214,Avus Racing,Felge,provider 17,,,,,,
1000000440812,3779221,Avus Racing,Felge,provider 17,,,,,,
1000000440829,3779222,Avus Racing,Felge,provider 17,,,,,,
1000000440836,3779212,Avus Racing,Felge,provider 17,,,,,,
1000000440850,3779223,Avus Racing,Felge,provider 17,,,,,,
1000000440867,3779224,Avus Racing,Felge,provider 17,,,,,,
1000000440874,3779217,Avus Racing,Felge,provider 17,,,,,,
1000000440898,3779219,Avus Racing,Felge,provider 17,,,,,,
1000000440935,3779210,Avus Racing,Felge,provider 17,,,,,,
1000000440942,3779211,Avus Racing,Felge,provider 17,,,,,,
1000000440966,3779225,Avus Racing,Felge,provider 17,,,,,,
1000000440973,1437158,Avus Racing,Felge,provider 17,,,,,,
1000000441000,3779226,Avus Racing,Felge,provider 17,,,,,,
1000000441017,1437159,Avus Racing,Felge,provider 17,,,,,,
1000000441246,1437140,Avus Racing,Felge,provider 17,,,,,,
1000000441253,1437153,Avus Racing,Felge,provider 17,,,,,,
1000000441260,1437141,Avus Racing,Felge,provider 17,,,,,,
1000000441277,1437154,Avus Racing,Felge,provider 17,,,,,,
1000000441383,3779231,Avus Racing,Felge,provider 17,,,,,,
1000000441390,3779232,Avus Racing,Felge,provider 17,,,,,,
1000000441406,3779227,Avus Racing,Felge,provider 17,,,,,,
1000000441420,3779233,Avus Racing,Felge,provider 17,,,,,,
1000000441444,3779229,Avus Racing,Felge,provider 17,,,,,,
1000000441451,3779230,Avus Racing,Felge,provider 17,,,,,,
1000000441468,3779236,Avus Racing,Felge,provider 17,,,,,,
1000000441475,3779235,Avus Racing,Felge,provider 17,,,,,,
1000000441864,1437160,Avus Racing,Felge,provider 17,,,,,,
1000000442137,1437105,Avus Racing,Felge,provider 17,,,,,,
1000000442151,1437107,Avus Racing,Felge,provider 17,,,,,,
1000000442168,1437097,Avus Racing,Felge,provider 17,,,,,,
1000000442175,1437098,Avus Racing,Felge,provider 17,,,,,,
