ean,product_id,manufacturer,article_type,source_file,tyre_width,tyre_aspect_ratio,tyre_construction,tyre_diameter,tyre_load_index,tyre_speed_index,tyre_tread,tyre_tt_tl,provider,rim_width,rim_diameter,rim_offset,rim_color,rim_load_index,rim_speed_index
8714692805028,100004487,VREDESTEIN,Reifen,09.csv,265,35,R,20,,Z,ULTRAC PRO XLFSL,,09,,,,,,
8714692805134,100004731,VREDESTEIN,Reifen,09.csv,265,35,R,21,,Z,ULTRAC PRO XLFSL,,09,,,,,,
8714692805172,100004740,VREDESTEIN,Reifen,09.csv,245,50,R,19,,Z,ULTRAC PRO XLFSL,,09,,,,,,
8714692805226,100004739,VREDESTEIN,Reifen,09.csv,235,45,R,20,,Z,ULTRAC PRO XLFSL,,09,,,,,,
8714692806292,100004308,VREDESTEIN,Reifen,09.csv,215,45,R,20,,,QUATRAC PRO XLFSL 3PMSF,,09,,,,,,
8714692806346,100004304,VREDESTEIN,Reifen,09.csv,195,55,R,20,,,ULTRAC XLFSL,,09,,,,,,
8714692807954,100004291,VREDESTEIN,Reifen,09.csv,235,45,R,18,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692807978,100004293,VREDESTEIN,Reifen,09.csv,245,45,R,19,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692807985,100004294,VREDESTEIN,Reifen,09.csv,255,50,R,19,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692807992,100004295,VREDESTEIN,Reifen,09.csv,255,55,R,19,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692808005,100004290,VREDESTEIN,Reifen,09.csv,235,40,R,19,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692808012,100004289,VREDESTEIN,Reifen,09.csv,215,55,R,18,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692808067,100004298,VREDESTEIN,Reifen,09.csv,225,45,R,17,,,QUATRAC XLFSL 3PMSF,,09,,,,,,
8714692809071,100004296,VREDESTEIN,Reifen,09.csv,195,55,R,16,,,QUATRAC XL 3PMSF,,09,,,,,,
8714692809125,100004309,VREDESTEIN,Reifen,09.csv,215,50,R,19,,,QUATRAC PRO FSL 3PMSF,,09,,,,,,
8714692809637,100004332,VREDESTEIN,Reifen,09.csv,205,55,R,16,,,ULTRAC XL,,09,,,,,,
8714692809675,100004333,VREDESTEIN,Reifen,09.csv,205,55,R,17,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809682,100004391,VREDESTEIN,Reifen,09.csv,215,55,R,17,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809699,100004357,VREDESTEIN,Reifen,09.csv,235,50,R,19,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809705,100004345,VREDESTEIN,Reifen,09.csv,225,45,R,17,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809712,100004346,VREDESTEIN,Reifen,09.csv,225,50,R,17,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809729,100004348,VREDESTEIN,Reifen,09.csv,225,55,R,18,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809736,100004362,VREDESTEIN,Reifen,09.csv,235,60,R,18,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809743,100004374,VREDESTEIN,Reifen,09.csv,255,45,R,19,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809774,100004373,VREDESTEIN,Reifen,09.csv,HL255,40,R,20,,,QUATRAC PRO EV XLFSL 3PMSF,,09,,,,,,
8714692809842,100004305,VREDESTEIN,Reifen,09.csv,195,60,R,16C,97,,COMTRAC 2 ALL SEASON + 3PMSF,,09,,,,,,
8714692810077,100004504,VREDESTEIN,Reifen,09.csv,255,35,R,21,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810084,100004412,VREDESTEIN,Reifen,09.csv,245,35,R,21,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810169,100004521,VREDESTEIN,Reifen,09.csv,235,45,R,21,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810176,100004445,VREDESTEIN,Reifen,09.csv,275,30,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810190,100004372,VREDESTEIN,Reifen,09.csv,255,35,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810206,100004446,VREDESTEIN,Reifen,09.csv,245,35,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810237,100004407,VREDESTEIN,Reifen,09.csv,245,40,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810275,100004401,VREDESTEIN,Reifen,09.csv,255,45,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810282,100004416,VREDESTEIN,Reifen,09.csv,245,45,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810305,100004519,VREDESTEIN,Reifen,09.csv,215,45,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810336,100004448,VREDESTEIN,Reifen,09.csv,235,50,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810350,100004403,VREDESTEIN,Reifen,09.csv,195,55,R,20,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810367,100004449,VREDESTEIN,Reifen,09.csv,275,35,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
8714692810381,100004450,VREDESTEIN,Reifen,09.csv,245,35,R,19,,,QUATRAC PRO+ XLFSL 3PMSF,,09,,,,,,
